name, method, class, balanced_accuracy
car,i,0,0.550692602417
car,i,1,0.550692602417
car,g,0,0.55658709107
car,g,1,0.55658709107
car,i,0,0.558355437666
car,i,1,0.558355437666
car,g,0,0.51886236369
car,g,1,0.51886236369
car,i,0,0.51606248158
car,i,1,0.51606248158
car,g,0,0.555997642205
car,g,1,0.555997642205
car,i,0,0.519893899204
car,i,1,0.519893899204
car,g,0,0.547008547009
car,g,1,0.547008547009
car,i,0,0.525051576776
car,i,1,0.525051576776
car,g,0,0.621426466254
car,g,1,0.621426466254
car,i,0,0.556439728854
car,i,1,0.556439728854
car,g,0,0.584880636605
car,g,1,0.584880636605
car,i,0,0.530798703212
car,i,1,0.530798703212
car,g,0,0.560565870911
car,g,1,0.560565870911
car,i,0,0.508989095196
car,i,1,0.508989095196
car,g,0,0.60993221338
car,g,1,0.60993221338
car,i,0,0.543619216033
car,i,1,0.543619216033
car,g,0,0.629089301503
car,g,1,0.629089301503
car,i,0,0.532714412025
car,i,1,0.532714412025
car,g,0,0.504126142057
car,g,1,0.504126142057
