name, method, class, f1_score
car,i,0,0.925318761384
car,i,1,0.925318761384
car,g,0,0.896030245747
car,g,1,0.896030245747
car,i,0,0.933092224231
car,i,1,0.933092224231
car,g,0,0.866537717602
car,g,1,0.866537717602
car,i,0,0.924187725632
car,i,1,0.924187725632
car,g,0,0.882917466411
car,g,1,0.882917466411
car,i,0,0.928057553957
car,i,1,0.928057553957
car,g,0,0.885496183206
car,g,1,0.885496183206
car,i,0,0.921960072595
car,i,1,0.921960072595
car,g,0,0.880157170923
car,g,1,0.880157170923
car,i,0,0.93115942029
car,i,1,0.93115942029
car,g,0,0.877192982456
car,g,1,0.877192982456
car,i,0,0.927797833935
car,i,1,0.927797833935
car,g,0,0.862204724409
car,g,1,0.862204724409
car,i,0,0.928315412186
car,i,1,0.928315412186
car,g,0,0.866799204771
car,g,1,0.866799204771
car,i,0,0.929475587703
car,i,1,0.929475587703
car,g,0,0.888888888889
car,g,1,0.888888888889
car,i,0,0.92972972973
car,i,1,0.92972972973
car,g,0,0.862669245648
car,g,1,0.862669245648
